# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782eba
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782eba
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000785229
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000785212
     0.06%  GC Thread#0      libjvm.so           [.] 0x000000000078547d
     0.06%  GC Thread#0      libjvm.so           [.] 0x00000000007852dd
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782ed1
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b5e8
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b75f
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b603
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b522
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b861
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b672
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782df3
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782d5e
     0.06%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6e51f
     0.06%  GC Thread#3      libjvm.so           [.] 0x00000000007954d9
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782dd0
     0.06%  C2 CompilerThre  libjvm.so           [.] 0x000000000081761f
     0.06%  GC Thread#0      libjvm.so           [.] 0x000000000078528d
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000790681
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000080ecc1
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b6b7
     0.06%  GC Thread#1      libjvm.so           [.] 0x00000000007870d3
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000785247
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782cb6
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782de5
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b700
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000795a35
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c8e
     0.06%  GC Thread#1      libjvm.so           [.] 0x00000000007851f7
     0.06%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8b992
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000786fc4
     0.06%  GC Thread#3      libjvm.so           [.] 0x00000000007851d7
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c68428a7e
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782d55
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782d64
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842bb17
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000787058
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000786f51
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782de5
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000785412
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b7aa
     0.06%  C2 CompilerThre  libjvm.so           [.] 0x00000000003dbd20
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000785247
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782f34
